epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,453.639,0.33252,0.26463,0.91483,0.49535,0.5,0.4962,0.48821,0.24849,0.21421,0.68165,0.000561279,0.000561279,0.000561279
69,459.95,0.33121,0.24724,0.90471,0.49536,0.5,0.49614,0.48569,0.24656,0.21575,0.68048,0.000544776,0.000544776,0.000544776
70,466.498,0.34088,0.25349,0.92372,0.49401,0.5,0.49601,0.4853,0.2436,0.22139,0.684,0.000528272,0.000528272,0.000528272
71,472.903,0.32996,0.25319,0.92012,0.49537,0.5,0.49611,0.48566,0.25286,0.22131,0.68188,0.000511769,0.000511769,0.000511769
72,479.191,0.31922,0.24902,0.91125,0.49537,0.5,0.49611,0.49016,0.23153,0.21703,0.67957,0.000495266,0.000495266,0.000495266
73,485.555,0.31374,0.24148,0.91083,0.49533,0.5,0.49654,0.48806,0.23702,0.21947,0.68294,0.000478762,0.000478762,0.000478762
74,491.817,0.31461,0.25037,0.90744,0.49537,0.5,0.49596,0.48955,0.23641,0.21803,0.68563,0.000462259,0.000462259,0.000462259
75,498.175,0.31565,0.24871,0.90962,0.49481,0.5,0.4961,0.48958,0.24728,0.2291,0.68667,0.000445756,0.000445756,0.000445756
76,504.753,0.31844,0.24794,0.90857,0.49533,0.5,0.49679,0.4916,0.23598,0.22292,0.68137,0.000429253,0.000429253,0.000429253
77,511.453,0.30342,0.23781,0.91066,0.49537,0.5,0.49672,0.49066,0.25227,0.22185,0.68298,0.000412749,0.000412749,0.000412749
78,517.805,0.33171,0.2517,0.91197,0.49536,0.5,0.49604,0.49088,0.22174,0.20652,0.67128,0.000396246,0.000396246,0.000396246
79,524.079,0.33123,0.25443,0.91384,0.49537,0.5,0.49615,0.49322,0.21252,0.1961,0.67213,0.000379743,0.000379743,0.000379743
80,530.459,0.3061,0.23795,0.90774,0.49534,0.5,0.49587,0.49173,0.22214,0.20054,0.67626,0.000363239,0.000363239,0.000363239
81,536.794,0.29273,0.22878,0.89772,0.49537,0.5,0.49583,0.49009,0.22511,0.20549,0.67294,0.000346736,0.000346736,0.000346736
82,543.331,0.29754,0.23059,0.90821,0.49534,0.5,0.496,0.4897,0.22465,0.19053,0.67342,0.000330233,0.000330233,0.000330233
83,549.61,0.29314,0.22614,0.90167,0.49536,0.5,0.49577,0.49099,0.22158,0.18854,0.67453,0.000313729,0.000313729,0.000313729
84,555.813,0.3084,0.23994,0.91406,0.49536,0.5,0.49564,0.49345,0.20554,0.18748,0.6724,0.000297226,0.000297226,0.000297226
85,562.087,0.29688,0.22839,0.90848,0.49537,0.5,0.49567,0.49059,0.21535,0.20611,0.67612,0.000280723,0.000280723,0.000280723
86,568.338,0.30202,0.22542,0.90621,0.49537,0.5,0.4956,0.48932,0.22503,0.20758,0.67789,0.00026422,0.00026422,0.00026422
87,574.579,0.28351,0.22745,0.90141,0.49538,0.5,0.49578,0.49047,0.21717,0.19661,0.6758,0.000247716,0.000247716,0.000247716
88,580.938,0.29464,0.2243,0.90521,0.49537,0.5,0.49583,0.48872,0.22916,0.21591,0.67959,0.000231213,0.000231213,0.000231213
89,587.32,0.3081,0.23427,0.9126,0.49537,0.5,0.49589,0.48934,0.22433,0.2074,0.67917,0.00021471,0.00021471,0.00021471
90,593.66,0.29187,0.22335,0.90845,0.49537,0.5,0.49663,0.49013,0.21926,0.20904,0.67779,0.000198206,0.000198206,0.000198206
91,615.646,0.19458,0.15503,0.81936,0.49536,0.5,0.49612,0.48966,0.22388,0.20895,0.67731,0.000181703,0.000181703,0.000181703
92,621.777,0.19241,0.14869,0.81325,0.49536,0.5,0.49633,0.49003,0.22353,0.20703,0.67647,0.0001652,0.0001652,0.0001652
93,628.074,0.19383,0.14176,0.81398,0.49537,0.5,0.49672,0.49283,0.20394,0.19314,0.67287,0.000148696,0.000148696,0.000148696
94,634.449,0.18467,0.13746,0.81361,0.49529,0.5,0.4967,0.4937,0.21085,0.18965,0.67269,0.000132193,0.000132193,0.000132193
95,640.603,0.18042,0.13567,0.81884,0.49537,0.5,0.497,0.493,0.20177,0.17759,0.66917,0.00011569,0.00011569,0.00011569
96,647.171,0.18293,0.13282,0.81279,0.49537,0.5,0.497,0.49348,0.20557,0.17348,0.66872,9.91865e-05,9.91865e-05,9.91865e-05
97,653.376,0.17582,0.13023,0.8133,0.49537,0.5,0.49673,0.49278,0.20321,0.17571,0.66902,8.26832e-05,8.26832e-05,8.26832e-05
98,659.61,0.17979,0.13141,0.80789,0.49537,0.5,0.49684,0.49335,0.1983,0.16546,0.66787,6.61799e-05,6.61799e-05,6.61799e-05
99,665.749,0.17315,0.12769,0.81141,0.49536,0.5,0.49675,0.4934,0.20163,0.16868,0.66945,4.96766e-05,4.96766e-05,4.96766e-05
100,672.02,0.17592,0.12638,0.80782,0.49537,0.5,0.49659,0.49313,0.20293,0.16631,0.66959,3.31733e-05,3.31733e-05,3.31733e-05
